fecha_hora,id_sesion,tipo_sesion,ear,mar,estado_cabeza,mirando_abajo,parpadeos_total,parpadeos_por_minuto,cabeceos_total,cabeza_abajo_sostenida,bostezos,microsuenos,perclos
2026-05-07 18:15:58.076,20260507_181554,normal,0.3049,0.0,frente,0,0,0,0,0,0,0,0.0
2026-05-07 18:15:58.604,20260507_181554,normal,0.2926,0.0,frente,0,0,0,0,0,0,0,0.0
2026-05-07 18:15:59.148,20260507_181554,normal,0.2929,0.0,frente,0,0,0,0,0,0,0,0.0
2026-05-07 18:15:59.651,20260507_181554,normal,0.292,0.0,frente,0,0,0,0,0,0,0,0.0
2026-05-07 18:16:00.172,20260507_181554,normal,0.3041,0.0182,frente,0,0,0,0,0,0,0,0.0
2026-05-07 18:16:00.716,20260507_181554,normal,0.2954,0.0,frente,0,0,0,0,0,0,0,0.0
2026-05-07 18:16:01.219,20260507_181554,normal,0.3076,0.0,frente,0,0,0,0,0,0,0,0.0
2026-05-07 18:16:01.739,20260507_181554,normal,0.2966,0.0182,frente,0,0,0,0,0,0,0,0.0
2026-05-07 18:16:02.284,20260507_181554,normal,0.2984,0.0,frente,0,1,1,0,0,0,0,0.0394
2026-05-07 18:16:02.789,20260507_181554,normal,0.3091,0.0,frente,0,1,1,0,0,0,0,0.035
2026-05-07 18:16:03.308,20260507_181554,normal,0.318,0.0,frente,0,1,1,0,0,0,0,0.0333
2026-05-07 18:16:03.851,20260507_181554,normal,0.2782,0.0178,frente,0,1,1,0,0,0,0,0.0333
2026-05-07 18:16:04.356,20260507_181554,normal,0.2845,0.0,frente,0,1,1,0,0,0,0,0.0333
2026-05-07 18:16:04.924,20260507_181554,normal,0.2938,0.0,frente,0,1,1,0,0,0,0,0.0333
2026-05-07 18:16:05.427,20260507_181554,normal,0.2945,0.0566,frente,0,1,1,0,0,0,0,0.0333
2026-05-07 18:16:05.947,20260507_181554,normal,0.3016,0.0,frente,0,1,1,0,0,0,0,0.0333
2026-05-07 18:16:06.453,20260507_181554,normal,0.2861,0.0,frente,0,1,1,0,0,0,0,0.0333
2026-05-07 18:16:06.988,20260507_181554,normal,0.2993,0.0,frente,0,1,1,0,0,0,0,0.0133
2026-05-07 18:16:07.492,20260507_181554,normal,0.2974,0.0,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:08.013,20260507_181554,normal,0.2711,0.0,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:08.556,20260507_181554,normal,0.2714,0.0,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:09.059,20260507_181554,normal,0.2622,0.0,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:09.580,20260507_181554,normal,0.2909,0.0,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:10.123,20260507_181554,normal,0.2963,0.0,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:10.653,20260507_181554,normal,0.289,0.0182,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:11.159,20260507_181554,normal,0.2852,0.0,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:11.674,20260507_181554,normal,0.2929,0.0,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:12.198,20260507_181554,normal,0.29,0.0,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:12.726,20260507_181554,normal,0.2874,0.0,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:13.238,20260507_181554,normal,0.2801,0.0,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:13.765,20260507_181554,normal,0.2775,0.0,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:14.289,20260507_181554,normal,0.2782,0.0,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:14.800,20260507_181554,normal,0.2839,0.0,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:15.327,20260507_181554,normal,0.2811,0.0179,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:15.855,20260507_181554,normal,0.2749,0.0178,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:16.365,20260507_181554,normal,0.2694,0.0,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:16.939,20260507_181554,normal,0.2705,0.0,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:17.450,20260507_181554,normal,0.2688,0.0182,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:17.972,20260507_181554,normal,0.2906,0.0,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:18.500,20260507_181554,normal,0.2826,0.0,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:19.010,20260507_181554,normal,0.2891,0.0257,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:19.540,20260507_181554,normal,0.2819,0.0,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:20.071,20260507_181554,normal,0.2781,0.0,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:20.583,20260507_181554,normal,0.2691,0.0,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:21.111,20260507_181554,normal,0.2744,0.0,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:21.641,20260507_181554,normal,0.2775,0.0,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:22.186,20260507_181554,normal,0.2896,0.0,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:22.714,20260507_181554,normal,0.2809,0.0178,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:23.245,20260507_181554,normal,0.2631,0.0,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:23.785,20260507_181554,normal,0.2898,0.0,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:24.328,20260507_181554,normal,0.3105,0.0,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:24.841,20260507_181554,normal,0.3027,0.0,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:25.402,20260507_181554,normal,0.3016,0.0,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:25.915,20260507_181554,normal,0.2984,0.0,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:26.425,20260507_181554,normal,0.302,0.0,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:26.970,20260507_181554,normal,0.3036,0.0,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:27.485,20260507_181554,normal,0.303,0.0,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:27.997,20260507_181554,normal,0.2974,0.0,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:28.525,20260507_181554,normal,0.2964,0.0178,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:29.037,20260507_181554,normal,0.2967,0.0,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:29.549,20260507_181554,normal,0.3008,0.0178,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:30.058,20260507_181554,normal,0.2889,0.0,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:30.588,20260507_181554,normal,0.2959,0.0,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:31.118,20260507_181554,normal,0.3025,0.0178,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:31.625,20260507_181554,normal,0.295,0.0,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:32.166,20260507_181554,normal,0.2924,0.0,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:32.693,20260507_181554,normal,0.2895,0.0175,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:33.202,20260507_181554,normal,0.2979,0.0,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:33.732,20260507_181554,normal,0.2894,0.0,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:34.258,20260507_181554,normal,0.2861,0.0,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:34.772,20260507_181554,normal,0.2756,0.0182,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:35.331,20260507_181554,normal,0.2814,0.0,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:35.842,20260507_181554,normal,0.295,0.0,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:36.365,20260507_181554,normal,0.2838,0.0,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:36.873,20260507_181554,normal,0.2961,0.0,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:37.401,20260507_181554,normal,0.2963,0.0,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:37.912,20260507_181554,normal,0.2873,0.0,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:38.438,20260507_181554,normal,0.2845,0.0178,frente,0,1,1,0,0,0,0,0.0
